canonical_UniProtAC	condensate_id	condensate_name	condensate_type
Q9H2X6	804901D1	Nuclear speckle	biomolecular
O75928	804901D1	Nuclear speckle	biomolecular
Q99459	804901D1	Nuclear speckle	biomolecular
P61978	804901D1	Nuclear speckle	biomolecular
Q15233	804901D1	Nuclear speckle	biomolecular
P48729	804901D1	Nuclear speckle	biomolecular
Q6P2Q9	804901D1	Nuclear speckle	biomolecular
Q01130	804901D1	Nuclear speckle	biomolecular
O00257	804901D1	Nuclear speckle	biomolecular
O75604	8C2F96ED	Centrosome	biomolecular
O75925	804901D1	Nuclear speckle	biomolecular
Q9GZR7	91857CE7	Nucleolus	biomolecular
P11586	91857CE7	Nucleolus	biomolecular
P51149	91857CE7	Nucleolus	biomolecular
Q92737	91857CE7	Nucleolus	biomolecular
Q9NR46	91857CE7	Nucleolus	biomolecular
P11940	91857CE7	Nucleolus	biomolecular
Q7L1Q6	91857CE7	Nucleolus	biomolecular
Q14566	91857CE7	Nucleolus	biomolecular
Q14315	91857CE7	Nucleolus	biomolecular
Q9HAV4	91857CE7	Nucleolus	biomolecular
P52434	91857CE7	Nucleolus	biomolecular
Q9UII2	91857CE7	Nucleolus	biomolecular
Q8N726	91857CE7	Nucleolus	biomolecular
O75531	91857CE7	Nucleolus	biomolecular
P22455	91857CE7	Nucleolus	biomolecular
Q86V81	91857CE7	Nucleolus	biomolecular
Q9H4M9	91857CE7	Nucleolus	biomolecular
Q12874	91857CE7	Nucleolus	biomolecular
Q9H579	91857CE7	Nucleolus	biomolecular
Q9UNZ5	91857CE7	Nucleolus	biomolecular
Q9BU76	91857CE7	Nucleolus	biomolecular
Q13263	91857CE7	Nucleolus	biomolecular
Q9NQT4	91857CE7	Nucleolus	biomolecular
Q50LG9	91857CE7	Nucleolus	biomolecular
Q14191	91857CE7	Nucleolus	biomolecular
P55769	91857CE7	Nucleolus	biomolecular
Q9NQ55	91857CE7	Nucleolus	biomolecular
P08708	91857CE7	Nucleolus	biomolecular
P09132	91857CE7	Nucleolus	biomolecular
Q96FC9	91857CE7	Nucleolus	biomolecular
Q96GQ7	91857CE7	Nucleolus	biomolecular
Q9BUF5	91857CE7	Nucleolus	biomolecular
P11142	91857CE7	Nucleolus	biomolecular
Q9Y3B9	91857CE7	Nucleolus	biomolecular
P30050	91857CE7	Nucleolus	biomolecular
P37108	91857CE7	Nucleolus	biomolecular
C9JRZ8	91857CE7	Nucleolus	biomolecular
Q08752	91857CE7	Nucleolus	biomolecular
P16383	91857CE7	Nucleolus	biomolecular
P62937	91857CE7	Nucleolus	biomolecular
Q5QJE6	91857CE7	Nucleolus	biomolecular
Q969X6	91857CE7	Nucleolus	biomolecular
O15217	91857CE7	Nucleolus	biomolecular
P62495	91857CE7	Nucleolus	biomolecular
Q16795	91857CE7	Nucleolus	biomolecular
Q9Y6V7	91857CE7	Nucleolus	biomolecular
