side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
N	124	1166	1994	0.5847542627883651	1186.64603322735	1994	0.5951083416385908	-0.010354078850225767
N	125	1172	1994	0.5877632898696088	1193.6126652288096	1994	0.5986021390314993	-0.010838849161890485
N	126	1178	1994	0.5907723169508525	1200.4598777241035	1994	0.6020360470030609	-0.011263730052208376
N	127	1188	1994	0.5957873620862588	1209.219271924673	1994	0.6064289227305281	-0.010641560644269243
N	128	1192	1994	0.5977933801404213	1213.0991215487325	1994	0.6083746848288528	-0.010581304688431548
N	129	1196	1994	0.5997993981945837	1217.0045778982715	1994	0.6103332888155825	-0.010533890620998743
N	130	1201	1994	0.6023069207622869	1220.39780885314	1994	0.6120350094549348	-0.009728088692647963
N	131	1208	1994	0.6058174523570712	1225.8531018009342	1994	0.6147708634909399	-0.008953411133868716
N	132	1210	1994	0.6068204613841525	1230.1594697403916	1994	0.6169305264495445	-0.010110065065392027
N	133	1215	1994	0.6093279839518556	1236.9631689095058	1994	0.6203426122916278	-0.011014628339772181
N	134	1215	1994	0.6093279839518556	1239.902970496808	1994	0.6218169360565737	-0.01248895210471812
N	135	1224	1994	0.6138415245737212	1246.2251297702849	1994	0.624987527467545	-0.011146002893823836
N	136	1229	1994	0.6163490471414242	1251.7828988329438	1994	0.627774773737685	-0.011425726596260732
N	137	1230	1994	0.6168505516549649	1254.639597489066	1994	0.6292074210075557	-0.012356869352590727
N	138	1236	1994	0.6198595787362087	1260.1620103793587	1994	0.6319769359976724	-0.01211735726146368
N	139	1238	1994	0.6208625877632898	1264.3193876756836	1994	0.6340618794762706	-0.013199291712980732
N	140	1239	1994	0.6213640922768305	1266.7631991419958	1994	0.6352874619568685	-0.013923369680037934
N	141	1242	1994	0.6228686058174524	1272.6199109498423	1994	0.6382246293630102	-0.015356023545557762
N	142	1251	1994	0.627382146439318	1277.7584507824622	1994	0.6408016302820774	-0.013419483842759372
N	143	1254	1994	0.6288866599799399	1281.2214919080031	1994	0.6425383610371129	-0.01365170105717306
N	144	1257	1994	0.6303911735205617	1284.3999578864698	1994	0.6441323760714492	-0.01374120255088751
N	145	1264	1994	0.633901705115346	1290.8145196405037	1994	0.6473493077434823	-0.013447602628136268
N	146	1269	1994	0.6364092276830492	1294.7914037705852	1994	0.6493437330845463	-0.012934505401497098
N	147	1274	1994	0.6389167502507522	1297.7965258543845	1994	0.6508508153733122	-0.011934065122560011
N	148	1281	1994	0.6424272818455367	1301.4927374247334	1994	0.6527044821588432	-0.01027720031330659
N	149	1284	1994	0.6439317953861585	1304.025009113313	1994	0.653974427840177	-0.010042632454018485
N	150	1289	1994	0.6464393179538616	1308.6335301343347	1994	0.6562856219329662	-0.009846303979104687
N	151	1290	1994	0.6469408224674023	1311.6876769086139	1994	0.6578172903252828	-0.010876467857880545
N	152	1297	1994	0.6504513540621866	1317.3460478894842	1994	0.6606549889114766	-0.010203634849289989
N	153	1303	1994	0.6534603811434303	1322.0199215833811	1994	0.6629989576646846	-0.009538576521254338
N	154	1306	1994	0.6549648946840522	1324.975061334934	1994	0.6644809735882317	-0.009516078904179492
N	155	1312	1994	0.6579739217652959	1331.4440982289707	1994	0.6677252247888519	-0.00975130302355598
N	156	1313	1994	0.6584754262788365	1334.317745415118	1994	0.6691663718230281	-0.010690945544191588
N	157	1316	1994	0.6599799398194583	1336.7202925700556	1994	0.6703712600652234	-0.010391320245765057
N	158	1320	1994	0.6619859578736209	1340.3779551534735	1994	0.6722055943598162	-0.010219636486195283
N	159	1325	1994	0.664493480441324	1344.2111843755185	1994	0.6741279761161076	-0.009634495674783694
N	160	1331	1994	0.6675025075225677	1349.7440866654888	1994	0.6769027515875069	-0.009400244064939223
N	161	1333	1994	0.668505516549649	1352.6551449886967	1994	0.6783626604757756	-0.009857143926126688
N	162	1336	1994	0.6700100300902708	1355.0033963192054	1994	0.6795403191169536	-0.009530289026682737
N	163	1339	1994	0.6715145436308927	1358.179616210426	1994	0.6811332077283982	-0.009618664097505558
N	164	1341	1994	0.672517552657974	1360.0971810102478	1994	0.6820948751305155	-0.009577322472541505
N	165	1343	1994	0.6735205616850551	1362.7423991978574	1994	0.6834214639909014	-0.009900902305846282
N	166	1347	1994	0.6755265797392177	1365.9205538934034	1994	0.6850153229154481	-0.009488743176230385
