occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	null_mean_fraction	null_q025_fraction	null_q975_fraction	empirical_p_greater	log2_observed_over_null	delta_fraction_vs_null	q_value
6	50	1421	12826	0.11079058163106191	0.04812537034149384	0.044596912521440824	0.05183026664587557	0.00398406374501992	1.2029656944010525	0.06266521128956806	0.00649575610601074
6	75	1924	12826	0.15000779666302821	0.07815437392795883	0.07369600810852955	0.08262708560736005	0.00398406374501992	0.9406389654545864	0.07185342273506938	0.00649575610601074
6	100	2203	12826	0.17176048651177295	0.10340059254639014	0.09841142990799938	0.10812217370965227	0.00398406374501992	0.7321537295803013	0.0683598939653828	0.00649575610601074
7	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	3	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	4	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	5	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	6	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
7	8	0	12826	0.0	5.145797598627787e-05	0.0	0.0001559332605644784	1.0		-5.145797598627787e-05	1.0
7	10	3	12826	0.0002338998908467176	0.00034274130672072356	0.0	0.0007016996725401528	0.8247011952191236	-0.551228885565988	-0.00010884141587400595	1.0
7	15	69	12826	0.005379697489474505	0.0014950881022922189	0.0007016996725401528	0.002399423046935912	0.00398406374501992	1.8472945477911233	0.0038846093871822865	0.00649575610601074
7	20	211	12826	0.016450958989552473	0.004411975674411352	0.002902307812256354	0.006063854670201154	0.00398406374501992	1.898674944931933	0.012038983315141121	0.00649575610601074
7	30	538	12826	0.04194604709184469	0.0140689225011695	0.012162794324029315	0.016043583346327772	0.00398406374501992	1.57602301960534	0.027877124590675192	0.00649575610601074
7	40	868	12826	0.06767503508498363	0.025203181038515515	0.022723374395758614	0.027738577888663653	0.00398406374501992	1.425017894320503	0.04247185404646811	0.00649575610601074
7	50	1097	12826	0.0855293934196164	0.035313893653516296	0.032001403399345076	0.0385759394978949	0.00398406374501992	1.2761844092214483	0.05021549976610011	0.00649575610601074
7	75	1578	12826	0.12303134258537346	0.06059566505535631	0.0565180102915952	0.06432246998284734	0.00398406374501992	1.0217393993154762	0.06243567753001715	0.00649575610601074
7	100	1858	12826	0.14486199906440045	0.08232901917979105	0.07690238577888664	0.08683728364260097	0.00398406374501992	0.8152062455619454	0.0625329798846094	0.00649575610601074
8	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
8	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
